,id,Comuna,N_Habitaciones,N_Baños,N_Estacionamientos,Amoblado,Total_Superficie_M2,Valor_UF,Link,colUF/m2,Tasa cada 100Mil,Rango,closest_metro,dist_closest_metro,closest_super,closest_super_dist
1621,1702,La Reina,3.0,2.0,2.0,No,178.0,7246.38,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-reina/casa/se-vende-casa-la-reina-178m2-3d2b-2esto-patio-antejardin/6400987,41.0,565.4,alto,FERNANDO CASTILLO VELASCO,2.1629950938800966,Lider,0.9437413907081876
1622,1703,El Bosque,6.0,2.0,1.0,No,300.0,4725.9,https://chilepropiedades.cl/ver-publicacion/venta-usada/el-bosque/casa/gran-avenidaamerica/2526485,16.0,408.1,medio,LOS LIBERTADORES,6049.388115283039,Colina ,411.91513553454143
1623,1704,Lo Barnechea,5.0,5.0,2.0,No,305.0,19900.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/lo-barnechea/casa/colegio-newland-condominio-parque-los-castanos/6139467,65.0,276.8,bajo,LOS DOMINICOS,19.18722606594324,Express de Lider,12.229156722320129
1624,1705,Puente Alto,3.0,2.0,3.0,No,98.0,4883.43,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/domingo-tocornal-puente-alto/5695318,50.0,369.1,medio,PLAZA DE PUENTE ALTO,0.1069172956548045,Plazuela Independencia,0.8218237932894789
1625,1706,Colina,3.0,3.0,2.443019943019943,No,560.0,14500.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/colina/casa/jose-rabat-10600/5756813,26.0,421.3,medio,LOS LIBERTADORES,10.779544913107252,Piedra Roja ,3.108555794946245
1626,1707,Peñalolén,3.0,3.0,2.0,No,144.0,7980.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/penalolen/casa/las-perdices/6803211,55.0,415.5,medio,QUILIN,3.606516517002702,Unimarc,1.2658165641262302
1627,1708,Puente Alto,3.0,3.0,1.0,No,110.0,4064.27,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/cardenal-fresno-puente-alto/6797949,37.0,369.1,medio,PLAZA DE PUENTE ALTO,0.1069172956548045,Plazuela Independencia,0.8218237932894789
1628,1709,Puente Alto,3.0,2.0,4.0,No,197.0,6092.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/angel-pimentel/5550710,31.0,369.1,medio,PROTECTORA DE LA INFANCIA,2.231234966150809,Express de Lider,1.4646944455831787
1629,1710,Cerro Navia,4.0,1.0,2.0,No,270.0,4410.84,https://chilepropiedades.cl/ver-publicacion/venta-usada/cerro-navia/casa/av-costanera-sur-agla-estrella/6584789,16.0,423.0,medio,PUDAHUEL,2.23535472958769,Catamarca,0.8633270033632695
1630,1711,Maipú,4.0,2.630757613893783,1.0,No,186.0,8500.0,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/rentistas-propiedad-multifamily-alto-valor-comercial/6342395,46.0,370.9,medio,PLAZA DE MAIPU,0.1668376420240113,Lider,1.14396786841417
