,Codigo_Aviso,Comuna,Link,Tipo_Vivienda,N_Habitaciones,N_Baños,N_Estacionamientos,Amoblado,Total_Superficie_M2,Superficie_Construida_M2,anoConstruccion,Valor_UF,Valor_CLP,Dirección,tipoPublicacion,Quién_Vende,Corredor,fechaPublicacion
60,6838017,Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/cam-de-las-nieves-1466/6838017,Casa,5.0,4.0,2.0,,480.0,174.0,1991.0,23000.0,730020000.0,"Las Condes, Cam. de Las Nieves 1466",Venta Usada,                      Javiera Contreras                  ,,03/04/2022
61,6614821,Puente Alto,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/las-perdices-puente-alto/6614821,Casa,3.0,2.0,2.0,Sí,78.0,200.0,,4662.89,148000000.0,"Puente Alto, Las Perdices, Puente Alto",Venta Usada,                      ARANGUIZ & GUZMAN GESTION INMOBILIARIA                  ,Movahome Corredores Integrados,02/04/2022
62,5902147,Quilicura,https://chilepropiedades.cl/ver-publicacion/venta-usada/quilicura/casa/los-apeninos-con-tierra-del-fuego/5902147,Casa,2.0,1.0,1.0,No,74.0,52.0,,2236.93,71000000.0,"Quilicura, Los Apeninos con Tierra del Fuego",Venta Usada,                      Penna & Pinto Corretaje                  ,Unne,01/04/2022
63,5842377,Lampa,https://chilepropiedades.cl/ver-publicacion/venta-usada/lampa/casa/avenida-el-rodeo-1393/5842377,Casa,3.0,3.0,2.0,,240.0,111.0,2014.0,6850.0,217419000.0,"Lampa, Avenida El Rodeo 1393",Venta Usada,                      Jorge Figueroa                  ,Behouse,02/03/2022
64,6797635,Santiago,https://chilepropiedades.cl/ver-publicacion/venta-usada/santiago/casa/ciudad-del-sol/6797635,Casa,3.0,3.0,1.0,,153.0,132.0,2019.0,0.18,5800.0,"Santiago, Ciudad del Sol",Venta Usada,                      Patricia Navarro                  ,Enfoque Propiedades,01/04/2022
65,6509667,Maipú,https://chilepropiedades.cl/ver-publicacion/venta-usada/maipu/casa/yc-56743-los-adobesyc-56743-de-lo-infante/6509667,Casa,2.0,1.0,1.0,No,150.0,43.0,,2520.48,80000000.0,"Maipú, (YC 56743)  Los Adobes/(YC 56743) De Lo Infante",Venta Usada,                      Propiedades Centro Santiago SPA                  ,Propiedades Centro Santiago SPA,02/04/2022
66,6819664,San Bernardo,https://chilepropiedades.cl/ver-publicacion/venta-usada/san-bernardo/casa/san-bernardo/6819664,Casa,2.0,1.0,1.0,,,,,1984.88,63000000.0,"San Bernardo, San Bernardo",Venta Usada,                      Myrta                  ,,31/03/2022
67,5559749,La Florida,https://chilepropiedades.cl/ver-publicacion/venta-usada/la-florida/casa/los-clarineslas-hortencias/5559749,Casa,3.0,1.0,1.0,No,146.0,60.0,,4347.83,138000000.0,"La Florida, Los clarines/las hortencias",Venta Usada,                      Procasa Adrian Ulloa Propiedades                  ,Procasa Adrián Ulloa Propiedades,03/04/2022
68,4084549,Puente Alto,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/nemesio-vicuna-2504/4084549,Casa,4.0,3.0,3.0,,208.0,129.0,,4568.37,145000000.0,"Puente Alto, Nemesio Vicuña 2504",Venta Usada,                      Patricio Fabio                  ,,03/04/2022
69,6351981,Las Condes,https://chilepropiedades.cl/ver-publicacion/venta-usada/las-condes/casa/mall-los-dominicos/6351981,Casa,6.0,3.0,3.0,No,288.0,120.0,,9485.0,301053900.0,"Las Condes, Mall Los Dominicos",Venta Usada,                      Residencial TSI Property                  ,Tsi Property,02/04/2022
70,6710587,Quilicura,https://chilepropiedades.cl/ver-publicacion/venta-usada/quilicura/casa/quilicura-region-metropolitana/6710587,Casa,2.0,1.0,1.0,No,88.0,56.0,,2268.43,71999990.0,"Quilicura, Quilicura, Región Metropolitana",Venta Usada,                      Cynthia Mitry                  ,INDEHID Administracion y Gestion Inmobiliaria,01/04/2022
71,5634813,Pirque,https://chilepropiedades.cl/ver-publicacion/venta-usada/pirque/casa/av-virginia-subercaseaux-3600/5634813,Casa,6.0,4.0,6.0,,6942.0,500.0,2002.0,14500.0,460230000.0,"Pirque, Av. Virginia Subercaseaux 3600",Venta Usada,                      Alejandro Navarro                  ,Ambiento Propiedades,02/03/2022
72,6719259,San Bernardo,https://chilepropiedades.cl/ver-publicacion/venta-usada/san-bernardo/casa/villa-la-campina-de-nos-san-bernardo/6719259,Casa,3.0,2.0,1.0,No,82.0,58.0,,2362.95,75000000.0,"San Bernardo, Villa La Campiña de Nos/ San Bernardo",Venta Usada,                      Inhaus Propiedades                  ,Unne,01/04/2022
73,6618230,Pudahuel,https://chilepropiedades.cl/ver-publicacion/venta-usada/pudahuel/casa/casa-2-pisos-en-pudahuel/6618230,Casa,3.0,1.0,,No,98.0,48.0,,1575.3,50000000.0,"Pudahuel, Casa 2 Pisos en Pudahuel",Venta Usada,                      Corretajes Prosal Ltda.                  ,Corretajes Prosal,02/04/2022
74,6600519,Puente Alto,https://chilepropiedades.cl/ver-publicacion/venta-usada/puente-alto/casa/profeta-exequiel-puente-alto/6600519,Casa,3.0,1.0,2.0,No,75.0,150.0,,3334.0,105821160.0,"Puente Alto, Profeta Exequiel, Puente Alto",Venta Usada,                      M & A Propiedades                  ,Movahome Corredores Integrados,31/03/2022
75,5714295,Ñuñoa,https://chilepropiedades.cl/ver-publicacion/venta-usada/nunoa/casa/plaza-nunoa/5714295,Casa,4.0,3.0,1.0,No,790.0,280.0,,16993.0,539357820.0,"Ñuñoa, Plaza ñuñoa",Venta Usada,                      Fernando Kind                  ,Foix Realty 100,03/04/2022
